aath 工牌
addr 浙江省杭州市余杭区五常街道西溪北苑西区36幢2单元702
adgk 苦逼
adwb 菲仔
aegq 散列
aiyl 落库
ajis 蓝河
alrr 苏折
ammp 英迪
apps "App Store"
appw Watch
aqtr 艾特
atlt 甘特图
aviy 切流
ayay 蓑芒
bbds 子奇
bbgr 子珠
bcud 取关
bitf 逊行
bjfc 阿里云
bmcd 出参
brgg 孤王
bybi 承诺函
cbnt 预发
cbpp 豫之
cqyy 欢言
cwww 预估价
dalt 左图
data DataId
date {date} {datetime} {datetime|yyyy年MM月dd日}
ddff 大垚
ddpu 大补
ddwk 大促
dfdu 磕碰
dfgm 辰瑞
dfim 压测
dgum 三端
diam diamond
dmnn 布乙
dnak 万彧
dnuh 万站
dodo 灰灰
dxdg 龙古
dxte 龙磐
edog 🐶
escr 😂
fcrg 云岳
fctg 去重
fcyh 云卞 文卞
ffth 封版
fgdd 二套
fhqy 赶鸟
fhrm 直投
fhtj 真香
fism 未枫
fiyf 未读
fjge 乾静
fjhk 埋点
fjxg 进线
fksk 嘉哥
fnyb 专享
foqk 赤兔
fpgh 过下
fqcd 无参
fqdh 远慧
fqfn 远场
fqsk 远哥
fsyy 霖方
ftvt 孝娥
fyqn 二方包
gahh 开卡
gdqt 天猫
gdte 天航
geif 青尘
gfwt 于途
ghrh 下掉
gkgy 副班
gmbj 曹阳
gqnu 玖飞
guoj 平煜
guxe 平级
gydm 璇矶
gyjg 玉昊
hftd 睦知
hhhk 卡点
hhud 上送
hktf 点赞
hkxx 占比
ienf 浮层
ieqy 溪鸟
ifpt 潜客
ihth 波彼
ihvm 淑娉
iieg 沙县
imfq 尚远
ipdf 沈辰
iqfg 光雨
iqtr 淘特
iqtx 淘系
iqve 淘退
iqyu 兆谦
irwr 派件
isxt 河络
itbb 涤子
itdc 活码
item itemDetail
itsk 海歌
iupy 润福
ivpg 当宝
iwkm 小件员
ixau 涨薪
iyfu 沪增
jayc 晓序
jgsk 昊哥
jhce 申通
jmwx 映华
jnum 电商
jtfh 星越
jtgg 星环
jtuh 蜂站
junw 时间戳
jyss 景楚
kfrt 叶挺
khck 中台
khfa 跨域
khfc 踌云
ktrc 吃瓜
lfdg 轩石
lfvf 团建
lfwt 墨余
lfyq 转义
lhfk 四囍
lkff 回填
lkgh 加下
lkrw 回推
lkuj 回单
ltng 车秀情
luww 圈人
lwyq 轮询
mail 952532573@qq.com yangpengpeng.ypp@alibaba-inc.com yangpengpeng.ypp@cainiao.com
mdue 岩前
mfwf 周会
mmyp 山亭
mobi 13123936686 15658837792
mqfk 见嘉
mqrp 风控
msyh 岗李店
mtuh 峰站
mtuj 几单
myqy 丹鸟
myvv 丹娜
nnbm 已出
nnyc 快充
nnyf 已读
ntmu 必赔
ntyl 改库
nufp 习索
nuud 买券
ojkk 爆品
otrr 秌白
pera 宜搭
pghh 宝卡
pjtf 幂等
ptyr 客诉
purk 实操
puwf 实付
pyrv 社招
qaps 金戈宁
qedp 触达
qesk 觞哥
qgg       https://qingg.im 清歌输入法
qgtg 鲜生
qhuj 外单
qimf 尔冉
qkpj 免审
qkpn 免密
qqfb 多地
qrwy 锦集
qsqs 钉钉
qtfh 猫超
qywg 包裹侠
rbqa 报错
rdqn 排包
rfdm 热干面
rgsf 抹标
rhsf 年桔
rjim 提测
rjir 揽派
rjnh 揽收
rjrb 提报
rjuq 提效
rjwr 揽件
rnny 扎心
rpfn 近场
rrge 拆表
rrqn 抓包
rsip 打赏
rssf 打标
rtdf 搬砖
rtiq 手淘
rtwq 挺爷
ruow 拉粉
ruuj 抖音
ruus 拉新
ruvt 拉群
rvdc 扫码
rvqn 热饭
rwbu 失联
sgpt 酷客
sgqm 西钒
snqt 杨狸
ssfi 楚霄
sspi 楚宵
ssws 楚何
stkk 格口
swit switch
tahj 长桌
tbig 季清
tcfa 私域
tdgg 知五
tdyc 乱序
teng 秀情
tesf 透标
tewf 透传
tfdm 千页
tfdt 德邦
tfgh 等下
tfkf 千叶
tfkk 选品
tfqe 行觞
tfrh 千牛
tfrk 丢损
tftl 德备
tfuj 造单
tfwr 丢件
tfym 行高
tgrm 重投
tgyt 重放
theg 息县
tjte 复盘
tmwb 奥创
touj 释意
trac traceId
trbf 循际
tryk 牧识
tthp 笑睿
tycd 入参
udqn 券包
uemq 前风
uglf 美团
ujge 单表
ujjg 单量
ujrr 章哲
ukcf 竞对
ukkk 竞品
uqrk 资损
usow 新粉
uspt 新客
usqg 闲鱼
utrf 产技
utsw 产检
uttg 首重
utyw 首座
uyfg 六雨
vjgf 旭玮
vtwf 君传
wark 代扣
wawf 代付
wfry 会邀
wgjg 全量
wgqk 全免
wgtf 鸽德
wguj 合单
whkg 个号
whtr 修牧
wlgb 伽顿
wphk 代寄点
wqod 父类
wqqd 低危
wqxe 父级
wvge 分表
wviu 分润
wvuj 分单
wvyl 分库
wwkg 公众号
wxfg 化雨
wyqq 偏多
wyud 领券
xemw 组内
xgpu 纯初
xtsk 络哥
xtwf 张仁
xupw 弹窗
xusa 弹框
yggy 主班
ygiw 语雀
yjsg 裹配
yjyj 裹裹
ykha 识虚
ymtf 高德
ynfg 忘雨
ynkh 望路
yose 蛮极
ytsy 话术
yuiw 谦誉
yusw 谦橙
yxhe 玄眀
yxvo 玄灵
yyte 方舱
yyuk 方总
zzem 常用Emoji 😂 🐶 👍 ❤️ 🙏
